Track	Artist	Total words	N. unique words	Most common words
Is This Love (09)	Eminem	370	239	"['like', ""i'm"", 'yeah', 'never', ""feelin'""]"
40	U2	59	26	['sing', 'long', 'song', 'new', 'songi']
Act of God	Prince	155	90	['act', 'want', 'godcall', 'except', 'god']
After Forever	Black Sabbath	116	91	['think', 'god', 'say', 'thought', 'dead']
Anytime You Need a Friend	Mariah Carey	93	58	['never', 'ever', 'need', 'alone', 'love']
Brightest Morning Star	Britney Spears	142	63	['light', 'brightest', 'morning', 'beautiful', 'gets']
Mood Ring	Lorde*	153	97	['away', 'ay', 'blows', 'floating', 'kinda']
Rich Spirit	Kendrick Lamar*	397	202	"['duh', ""i'm"", 'ah', 'dun', 'ooh']"
Please God Don’t Tell Anyone	Jack White*	103	70	['god', 'tell', 'started', 'please', 'even']
Freedom	Justin Bieber	124	93	['feel', 'good', 'freedom', 'mmm', 'big']
Praise God	Kanye West	347	201	"['get', ""i'm"", 'right', ""let's"", 'still']"
42	Coldplay	66	28	['living', 'thought', 'might', 'ghostyou', 'get']
Hammer To Fall	Queen	107	93	['hammer', 'time', 'oh', 'one', 'know']
Recovering	Celine Dion	76	53	['back', 'piece', 'little', 'day', 'dayone']
Art of Dying	George Harrison	66	53	"['come', 'time', 'art', ""there'll"", 'us']"
Fade to Black	Metallica*	72	61	"['one', 'seems', 'lost', 'nothing', ""can't""]"
Everybody Dies	Billie Eilish	75	66	['everybody', 'might', 'wanna', 'dies', 'like']
Ghosts Again	Depeche Mode	43	31	"[""we'll"", 'ghosts', 'dreamingthoughtless', 'thoughts', 'friendswe']"
Show Me How	Foo Fighters	103	51	"['show', ""i'll"", 'take', 'care', 'everything']"
United in Grief	Kendrick Lamar*	326	239	"['tell', 'grieve', 'em', 'whoa', ""i'm""]"
Kill or Be Killed	Muse	68	52	"['tried', 'kill', ""we've"", 'oh', 'hard']"
911 Mr Lonely	Tyler, the Creator*	366	236	['call', 'one', 'nine', 'never', 'lonely']
Alien	Britney Spears	127	47	['alone', 'alonenot', 'like', 'stars', 'sky']
Biggest Mistake	Rolling Stones	160	94	"['hoo', 'think', ""i've"", 'made', 'biggest']"
Heartbreak Hotel	Elvis Presley	104	64	"['lonely', 'could', 'get', 'babywell', ""they'll""]"
Eleanor Rigby	Beatles	80	46	['lonely', 'look', 'ah', 'peoplewhere', 'people']
Alone	Burna Boy	170	104	['leave', 'go', 'fit', 'make', 'body']
Never Felt So Alone	Billie Eilish ft Labrinth	123	56	['alone', 'felt', 'never', 'na', 'oh']
Nobody gets me	SZA	112	68	"['gets', ""i'm"", 'wanna', 'youhow', 'supposed']"
Old Memories	Alicia Keys	138	82	"['uh', 'yeah', 'go', 'never', ""ain't""]"
All of the Girls You Loved Before	Taylor Swift	158	101	['ooh', 'girls', 'loved', 'love', 'made']
